pickup_datetime,dropoff_datetime,trip_distance,tip_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,Distance
2021-07-28 17:04:04,2021-07-28 17:22:26,2.57,3.46,-73.97044256869235,40.74991407790216,-73.99691854183823,40.72088889344526,3.923356675751913
2021-07-06 16:47:44,2021-07-06 16:54:28,0.84,0.0,-73.97756868222716,40.764421405786784,-73.9841964890757,40.75981761719185,0.7574004206387763
2021-07-14 21:07:27,2021-07-14 21:13:25,1.4,2.15,-73.95701169835739,40.78043643718997,-73.97863194845081,40.783961430313774,1.8620719129583763
2021-07-02 04:29:01,2021-07-02 04:43:47,6.1,0.0,-73.98984464313301,40.762252755319366,-73.94852173020877,40.827012654925376,7.997163945913872
2021-07-07 07:33:26,2021-07-07 07:49:39,3.3,0.0,-73.9723559435203,40.75668765218883,-73.94575026755157,40.79001075149546,4.330023703798802
2021-07-15 09:47:02,2021-07-15 10:03:28,1.55,0.0,-73.95473878380504,40.765484087889845,-73.9723559435203,40.75668765218883,1.777162902747541
2021-07-26 11:32:26,2021-07-26 11:41:37,0.61,2.58,-73.97769793122406,40.75802804352625,-73.98878659911529,40.75351275872571,1.060394154501755
2021-07-25 12:49:00,2021-07-25 12:52:50,0.8,1.75,-73.97756868222716,40.764421405786784,-73.96514579918421,40.75672894163307,1.3514434425366277
2021-07-15 22:33:11,2021-07-15 22:39:38,0.65,1.86,-74.00787970866403,40.717772736265175,-74.0074858180095,40.7262904102812,0.9477036470794113
2021-07-09 07:56:04,2021-07-09 08:14:02,3.36,2.1,-73.95741813122189,40.718803918129915,-73.99691854183823,40.72088889344526,3.336982908974254
2021-07-25 01:06:12,2021-07-25 01:21:37,4.03,2.0,-73.99089626184735,40.71893835938027,-73.99595619089148,40.679199014097094,4.43935447587329
2021-07-15 09:39:26,2021-07-15 10:04:27,3.24,2.0,-73.98878659911529,40.75351275872571,-73.95701169835739,40.78043643718997,4.015396759195471
2021-07-17 15:03:03,2021-07-17 15:10:22,0.7,2.45,-73.99430477051166,40.732579073027026,-73.99991742024712,40.74842755506572,1.8246087933245814
2021-07-30 19:46:37,2021-07-30 19:58:21,2.35,0.0,-74.01607915192926,40.71203815707448,-74.00287495910834,40.73457600733175,2.7420220479694404
2021-07-17 17:31:57,2021-07-17 17:49:44,4.31,0.0,-74.00749598562427,40.70680845166585,-73.99430477051166,40.732579073027026,3.0736499162214588
2021-07-02 16:43:35,2021-07-02 16:56:49,1.5,2.85,-73.9596347414917,40.76694821638323,-73.9723559435203,40.75668765218883,1.5651276523988737
2021-07-03 22:01:49,2021-07-03 22:15:00,2.7,0.0,-73.9596347414917,40.76694821638323,-73.96816833309238,40.79796199310004,3.5226274378396063
