pickup_datetime,dropoff_datetime,trip_distance,tip_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,Distance
2022-09-09 16:50:35,2022-09-09 16:57:49,1.23,0.0,-73.97863194845081,40.783961430313774,-73.98153220639179,40.77363329302709,1.174113308859823
2022-09-14 17:45:58,2022-09-14 17:52:22,1.27,1.76,-73.96816833309238,40.79796199310004,-73.96176359682917,40.809456961125264,1.387212733011172
2022-09-15 21:19:43,2022-09-15 21:37:12,3.36,3.56,-73.95473878380504,40.765484087889845,-73.96176359682917,40.809456961125264,4.92519812460225
2022-09-23 14:33:31,2022-09-23 14:44:10,1.7,2.0,-73.98515639467682,40.74857462935672,-73.99991742024712,40.74842755506572,1.2435657279400487
2022-09-28 07:23:13,2022-09-28 08:25:17,17.48,12.0,-73.78653298334973,40.64698489239515,-73.97849159965224,40.7477457936439,19.682918968654494
2022-09-04 11:03:32,2022-09-04 11:12:53,1.27,0.0,-73.98984464313301,40.762252755319366,-74.0040151252865,40.75330906598335,1.5535652173433794
2022-09-24 22:49:41,2022-09-24 22:49:41,0.0,0.0,-73.99991742024712,40.74842755506572,,,
2022-09-07 23:39:54,2022-09-07 23:45:32,0.53,1.86,-73.96563453538072,40.76861518381155,-73.9596347414917,40.76694821638323,0.5381981569387647
2022-09-26 16:48:16,2022-09-26 16:52:22,0.46,2.2,-73.9841964890757,40.75981761719185,-73.98878659911529,40.75351275872571,0.8006071600186623
2022-09-14 09:31:34,2022-09-14 09:37:44,0.67,1.32,-73.98515639467682,40.74857462935672,-73.97769793122406,40.75802804352625,1.224606182859296
2022-09-09 00:14:28,2022-09-09 00:23:07,1.13,2.16,-74.00749598562427,40.70680845166585,-74.01302277174902,40.70913894067186,0.5330804006195038
2022-09-30 13:45:13,2022-09-30 13:52:23,1.02,1.0,-73.96816833309238,40.79796199310004,-73.96555356545916,40.78247809974789,1.735745318926587
2022-09-19 16:09:41,2022-09-19 16:30:26,2.2,1.83,-73.98984464313301,40.762252755319366,-73.96563453538072,40.76861518381155,2.1581749568347313
2022-09-28 12:08:30,2022-09-28 12:17:11,0.81,0.0,-74.00287495910834,40.73457600733175,-74.00153756565634,40.72388811004171,1.1937710825426766
2022-09-26 20:24:52,2022-09-26 20:41:39,3.16,3.97,-73.95378223705632,40.81797514762943,-73.951009874818,40.77876585543437,4.366115489576131
2022-09-30 21:51:28,2022-09-30 21:51:38,0.01,12.37,-73.951009874818,40.77876585543437,-73.951009874818,40.77876585543437,0.0
2022-09-21 01:19:53,2022-09-21 01:41:59,6.64,0.0,-73.98515639467682,40.74857462935672,-73.94990503507508,40.69150749488065,7.00657549497373
2022-09-14 22:33:57,2022-09-14 22:49:59,8.3,3.0,-74.01151502922326,40.70335790323615,-73.951009874818,40.77876585543437,9.812859760607928
2022-09-13 19:15:17,2022-09-13 19:24:31,1.66,1.92,-73.95701169835739,40.78043643718997,-73.98153220639179,40.77363329302709,2.198921261049353
2022-09-06 07:23:48,2022-09-06 07:40:02,3.97,0.0,-73.78653298334973,40.64698489239515,-73.79098635986959,40.678953310115254,3.5745174304036453
2022-09-07 23:51:57,2022-09-07 23:59:08,1.51,1.2,-73.99697141558364,40.74227862901228,-73.99991742024712,40.74842755506572,0.7273786549301747
2022-09-04 12:25:08,2022-09-04 12:43:03,2.29,3.13,-73.9841964890757,40.75981761719185,-74.0040151252865,40.75330906598335,1.819436056336465
2022-09-25 10:40:35,2022-09-25 11:05:33,5.1,4.75,-73.97863194845081,40.783961430313774,-73.99738026020042,40.72834039137229,6.383198628910044
2022-09-28 13:00:54,2022-09-28 13:13:58,1.62,2.66,-73.99991742024712,40.74842755506572,-74.0040151252865,40.75330906598335,0.6432550883827701
2022-09-29 01:02:46,2022-09-29 01:06:54,1.1,1.85,-74.00787970866403,40.717772736265175,-74.00287495910834,40.73457600733175,1.9154439074408962
2022-09-06 19:50:53,2022-09-06 20:07:01,6.16,3.66,-73.9723559435203,40.75668765218883,-73.97696825691766,40.7237521415848,3.682819570791975
2022-09-25 16:22:00,2022-09-25 16:51:20,5.02,1.2,-73.96563453538072,40.76861518381155,-73.98302455833488,40.7147325069394,6.168004203584275
2022-09-09 08:44:30,2022-09-09 09:04:54,2.9,3.55,-73.97756868222716,40.764421405786784,-73.99991742024712,40.74842755506572,2.5896575165826135
